                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6749,                  1.835,                 1.3287,                0.78332,                 0.7851,                   0.87,                0.66129,                 0.8666,                 2.0761,                0.94406,               0.008878,               0.008878,               0.008878
                     36,                  1.762,                 1.7226,                 1.3737,                0.78332,                 0.7851,                   0.87,                0.66129,                 0.8666,                 2.0761,                0.94406,               0.008845,               0.008845,               0.008845
                     37,                 1.5841,                 1.6583,                 1.2992,                0.72198,                0.73973,                0.87375,                0.71153,                0.84996,                 2.1548,                0.91513,               0.008812,               0.008812,               0.008812
                     38,                 1.6443,                 1.7541,                 1.3253,                0.95711,                0.86129,                0.92556,                0.64232,                 1.1216,                 1.4564,                0.99083,               0.008779,               0.008779,               0.008779
                     39,                 1.6549,                 1.6696,                 1.3208,                0.95727,                 0.8125,                0.92583,                0.75532,                0.79932,                 1.3512,                 0.9031,               0.008746,               0.008746,               0.008746
                     40,                 1.7565,                 1.7882,                 1.4143,                0.95727,                 0.8125,                0.92583,                0.75532,                0.79932,                 1.3512,                 0.9031,               0.008713,               0.008713,               0.008713
                     41,                 1.4956,                  1.872,                 1.2827,                0.90178,                 0.8125,                0.94667,                0.75506,                0.78349,                 1.7134,                0.89411,                0.00868,                0.00868,                0.00868
                     42,                  1.636,                 1.7024,                 1.3256,                0.75697,                      1,                   0.97,                0.71306,                0.96523,                  1.726,                0.97398,               0.008647,               0.008647,               0.008647
                     43,                 1.6548,                 1.6951,                 1.3393,                0.84873,                0.89019,                0.91929,                0.72029,                0.83441,                 2.1672,                0.93629,               0.008614,               0.008614,               0.008614
                     44,                 1.5798,                 1.6202,                 1.2609,                0.84873,                0.89019,                0.91929,                0.72029,                0.83441,                 2.1672,                0.93629,               0.008581,               0.008581,               0.008581
                     45,                 1.5487,                  1.599,                 1.2632,                0.78948,                0.60893,                0.87839,                 0.7005,                0.76227,                 2.5506,                0.93272,               0.008548,               0.008548,               0.008548
                     46,                  1.752,                 1.8812,                 1.4157,                0.77564,                  0.125,                0.68258,                 0.5271,                0.76735,                 3.4094,                0.94751,               0.008515,               0.008515,               0.008515
                     47,                 1.6448,                 1.6836,                 1.3035,                  0.852,                  0.125,                0.52128,                0.41477,                0.99307,                 3.4456,                0.98835,               0.008482,               0.008482,               0.008482
                     48,                  1.663,                 1.5291,                 1.2961,                  0.852,                  0.125,                0.52128,                0.41477,                0.99307,                 3.4456,                0.98835,               0.008449,               0.008449,               0.008449
                     49,                 1.6013,                 1.7115,                 1.3417,                0.79952,                    0.5,                0.79014,                0.63609,                0.86405,                 2.9939,                0.98185,               0.008416,               0.008416,               0.008416
                     50,                 1.5521,                 1.5805,                 1.2848,                0.77724,                0.66243,                0.77355,                0.59126,                0.90882,                 2.7187,                0.97831,               0.008383,               0.008383,               0.008383
                     51,                 1.4529,                 1.5963,                 1.2015,                0.87962,                0.59468,                0.83648,                0.69964,                0.78534,                 2.7526,                0.92827,                0.00835,                0.00835,                0.00835
                     52,                 1.5626,                 1.5434,                 1.2028,                0.87962,                0.59468,                0.83648,                0.69964,                0.78534,                 2.7526,                0.92827,               0.008317,               0.008317,               0.008317
                     53,                 1.4777,                 1.5664,                 1.2646,                0.79909,                0.64968,                0.96737,                0.78797,                0.82388,                  2.332,                 0.9505,               0.008284,               0.008284,               0.008284
                     54,                 1.6306,                 1.7874,                 1.3223,                0.97431,                0.89736,                  0.983,                0.72929,                0.97521,                 1.4727,                0.97745,               0.008251,               0.008251,               0.008251
                     55,                 1.4311,                 1.5639,                 1.1937,                0.88656,                0.85638,                  0.983,                0.79464,                0.75303,                  1.641,                0.91734,               0.008218,               0.008218,               0.008218
                     56,                 1.3701,                 1.4533,                 1.1736,                0.88656,                0.85638,                  0.983,                0.79464,                0.75303,                  1.641,                0.91734,               0.008185,               0.008185,               0.008185
                     57,                  1.364,                 1.5318,                 1.1667,                0.77283,                      1,                  0.995,                0.84147,                0.77062,                 1.3774,                0.92448,               0.008152,               0.008152,               0.008152
                     58,                 1.5309,                 1.5491,                 1.2867,                0.95991,                0.98331,                  0.995,                0.77682,                0.87782,                  1.433,                0.94786,               0.008119,               0.008119,               0.008119
                     59,                 1.4459,                 1.5196,                  1.284,                0.89882,                      1,                  0.995,                 0.8222,                0.83426,                 1.5016,                0.94411,               0.008086,               0.008086,               0.008086
                     60,                  1.431,                 1.5448,                 1.2924,                0.89882,                      1,                  0.995,                 0.8222,                0.83426,                 1.5016,                0.94411,               0.008053,               0.008053,               0.008053
                     61,                  1.477,                 1.5486,                 1.2667,                0.98658,                      1,                  0.995,                0.84777,                0.70169,                 1.1235,                0.89978,                0.00802,                0.00802,                0.00802
                     62,                  1.366,                 1.4861,                 1.2825,                0.90404,                      1,                  0.995,                0.80977,                0.85321,                 1.0927,                0.92614,               0.007987,               0.007987,               0.007987
                     63,                 1.2363,                 1.4246,                 1.1751,                0.96801,                0.99996,                  0.995,                0.85441,                0.65894,                0.89737,                0.86389,               0.007954,               0.007954,               0.007954
                     64,                 1.4337,                 1.4916,                 1.2082,                0.96801,                0.99996,                  0.995,                0.85441,                0.65894,                0.89737,                0.86389,               0.007921,               0.007921,               0.007921
                     65,                 1.4269,                 1.4912,                 1.2053,                0.91836,                0.94733,                  0.995,                 0.8634,                 0.7184,                 1.0209,                0.89439,               0.007888,               0.007888,               0.007888
                     66,                 1.3994,                 1.3497,                 1.1955,                0.92211,                0.99482,                  0.995,                 0.7802,                 0.8217,                 1.0325,                0.90193,               0.007855,               0.007855,               0.007855
                     67,                 1.5168,                 1.5302,                 1.2191,                0.90614,                0.93999,                  0.995,                0.80735,                0.71525,                 1.0406,                0.87227,               0.007822,               0.007822,               0.007822
                     68,                 1.4116,                 1.3941,                 1.1733,                0.90614,                0.93999,                  0.995,                0.80735,                0.71525,                 1.0406,                0.87227,               0.007789,               0.007789,               0.007789
                     69,                  1.602,                 1.4449,                 1.2815,                0.90828,                 0.9375,                  0.983,                0.77547,                0.76383,                 1.0317,                0.90549,               0.007756,               0.007756,               0.007756
                     70,                 1.3774,                 1.3969,                 1.1911,                0.66373,                0.86865,                0.98111,                0.85233,                0.69704,                 1.4678,                0.88058,               0.007723,               0.007723,               0.007723
                     71,                 1.5024,                 1.4677,                 1.2344,                0.96122,                0.92787,                  0.995,                0.84032,                0.72351,                0.99734,                0.89716,                0.00769,                0.00769,                0.00769
                     72,                 1.2443,                 1.2888,                 1.1378,                0.96122,                0.92787,                  0.995,                0.84032,                0.72351,                0.99734,                0.89716,               0.007657,               0.007657,               0.007657
                     73,                 1.5054,                 1.4412,                 1.2312,                0.87488,                  0.875,                0.89976,                0.68769,                0.92028,                 1.3137,                0.99934,               0.007624,               0.007624,               0.007624
                     74,                 1.4072,                 1.4608,                 1.1999,                0.89995,                  0.875,                0.92087,                0.78827,                0.70116,                 1.1026,                0.88793,               0.007591,               0.007591,               0.007591
                     75,                  1.721,                 1.4969,                 1.3633,                 0.6939,                0.87076,                   0.97,                0.79034,                0.79903,                 1.6277,                0.89571,               0.007558,               0.007558,               0.007558
                     76,                 1.4817,                 1.6321,                 1.2834,                 0.6939,                0.87076,                   0.97,                0.79034,                0.79903,                 1.6277,                0.89571,               0.007525,               0.007525,               0.007525
                     77,                 1.3778,                 1.5295,                 1.1947,                  0.978,                      1,                  0.995,                0.84693,                0.72547,                0.84356,                0.87964,               0.007492,               0.007492,               0.007492
                     78,                 1.3584,                 1.4625,                 1.2028,                0.79482,                0.87104,                0.98833,                0.76002,                0.77447,                 1.3336,                0.89508,               0.007459,               0.007459,               0.007459
                     79,                 1.3615,                 1.3315,                 1.1778,                0.84238,                0.85998,                   0.97,                0.79268,                0.71014,                 1.1953,                0.88496,               0.007426,               0.007426,               0.007426
                     80,                 1.4109,                 1.3273,                 1.1869,                0.84238,                0.85998,                   0.97,                0.79268,                0.71014,                 1.1953,                0.88496,               0.007393,               0.007393,               0.007393
                     81,                 1.2919,                 1.3251,                 1.1467,                0.96296,                      1,                  0.995,                0.79267,                0.75589,                  1.035,                0.89401,                0.00736,                0.00736,                0.00736
                     82,                 1.2551,                 1.3052,                 1.1591,                 0.7419,                0.93164,                  0.995,                0.76087,                0.83318,                 1.4224,                0.90859,               0.007327,               0.007327,               0.007327
                     83,                 1.4169,                 1.3182,                 1.2254,                0.74563,                0.83842,                  0.995,                 0.8157,                 0.7965,                 1.3667,                0.90826,               0.007294,               0.007294,               0.007294
                     84,                 1.2392,                 1.2124,                 1.1225,                0.74563,                0.83842,                  0.995,                 0.8157,                 0.7965,                 1.3667,                0.90826,               0.007261,               0.007261,               0.007261
